city_id,year,residential_water,commercial_water,industrial_water,other_water
16,2009,723129626,239948337.3,66526606,0
16,2010,686766534,155890791.1,34238551,0
16,2011,676252729,150188814.4,33167277,0
16,2012,763347303,178594855.9,39102790,0
16,2013,688827201,225348666.9,34347052,69564627
9,2007,260798711,,,79405934
9,2008,232425677,59466904,0,15545673
9,2009,230170631,58479608,0,19035169
9,2010,198618344,49462942,0,11768577
9,2011,203827957,50810471,0,13894223
9,2012,221697967,57394564,0,16486650
9,2013,207162763,54527471,0,37474789
13,2007,633688987,235121655,,127747350
13,2008,569125000,269286000,77773000,1760000
13,2009,607891584,0,0,0
13,2010,553600000,250000000,71100000,22378000
13,2011,618773000,182240000,0,63490000
13,2012,579801000,244819000,0,53638000
13,2013,592001000,143874000,51343000,0
20,2007,2334889000,349952000,38988000,102990000
20,2008,2220252000,370547000,37537000,123217703
20,2009,2214391000,367812000,38158000,104014000
20,2010,1959753000,306172000,69525000,74496000
20,2011,2032871000,306167000,118089000,62401000
20,2012,2482916000,342932000,50112000,82332266
20,2013,2244377000,312906000,55670000,73314000
