id,city,county_id,state,type,sort_order
321,East Gull Lake,11,MN,,
322,Easton,22,MN,,
323,Echo,87,MN,,
324,Eden Valley,47,MN,,
325,Eden Valley,73,MN,,
326,Edgerton,59,MN,,
327,Effie,31,MN,,
328,Eitzen,28,MN,,
329,Elba,85,MN,,
330,Elbow Lake,26,MN,,
331,Elgin,79,MN,,
332,Elizabeth,56,MN,,
333,Elk River,71,MN,,
334,Elko New Market,70,MN,,
335,Elkton,50,MN,,
336,Ellendale,74,MN,,
337,Ellsworth,53,MN,,
338,Elmdale,49,MN,,
339,Elmore,22,MN,,
340,Elrosa,73,MN,,
341,Ely,69,MN,,
342,Elysian,40,MN,,
343,Elysian,81,MN,,
344,Emily,18,MN,,
345,Emmons,24,MN,,
346,Erhard,56,MN,,
347,Erskine,60,MN,,
348,Evan,8,MN,,
349,Evansville,21,MN,,
350,Eveleth,69,MN,,
351,Excelsior,27,MN,,
352,Eyota,55,MN,,
353,Fairfax,65,MN,,
354,Fairmont,45,MN,,
355,Faribault,66,MN,,
356,Farmington,19,MN,,
357,Farwell,61,MN,,
358,Federal Dam,11,MN,,
359,Felton,14,MN,,
360,Fergus Falls,56,MN,,
361,Fertile,60,MN,,
362,Fifty Lakes,18,MN,,
363,Finlayson,58,MN,,
364,Fisher,60,MN,,
365,Flensburg,49,MN,,
366,Floodwood,69,MN,,
367,Florence,42,MN,,
368,Foley,5,MN,,
369,Forada,21,MN,,
370,Forest Lake,82,MN,,
371,Foreston,48,MN,,
372,Fort Ripley,18,MN,,
373,Fosston,60,MN,,
374,Fountain,23,MN,,
375,Foxhome,84,MN,,
376,Franklin,65,MN,,
377,Frazee,3,MN,,
378,Freeborn,24,MN,,
379,Freeport,73,MN,,
380,Fridley,2,MN,,
381,Frost,22,MN,,
382,Fulda,51,MN,,
383,Funkley,4,MN,,
384,Garfield,21,MN,,
385,Garrison,18,MN,,
386,Garvin,42,MN,,
387,Gary,54,MN,,
388,Gaylord,72,MN,,
389,Gem Lake,62,MN,,
390,Geneva,24,MN,,
391,Genola,49,MN,,
392,Georgetown,14,MN,,
393,Ghent,42,MN,,
394,Gibbon,72,MN,,
395,Gilbert,69,MN,,
396,Gilman,5,MN,,
397,Glencoe,46,MN,,
398,Glenville,24,MN,,
399,Glenwood,61,MN,,
400,Glyndon,14,MN,,
401,Golden Valley,27,MN,,
402,Gonvick,15,MN,,
403,Good Thunder,7,MN,,
404,Goodhue,25,MN,,
405,Goodridge,57,MN,,
406,Goodview,85,MN,,
407,Graceville,6,MN,,
408,Granada,45,MN,,
409,Grand Marais,16,MN,,
410,Grand Meadow,50,MN,,
411,Grand Rapids,31,MN,,
412,Granite Falls,87,MN,,
413,Granite Falls,12,MN,,
414,Granite Falls,65,MN,,
415,Grant,82,MN,,
416,Grasston,33,MN,,
417,Green Isle,72,MN,,
418,Greenbush,68,MN,,
419,Greenfield,27,MN,,
420,Greenwald,73,MN,,
421,Marble,31,MN,,
422,Marietta,37,MN,,
423,Marine on Saint Croix,82,MN,,
424,Marshall,42,MN,,
425,Mayer,10,MN,,
426,Maynard,12,MN,,
427,Mazeppa,79,MN,,
428,McGrath,1,MN,,
429,McGregor,1,MN,,
430,McIntosh,60,MN,,
431,McKinley,69,MN,,
432,Meadowlands,69,MN,,
433,Medford,74,MN,,
434,Medicine Lake,27,MN,,
435,Medina,27,MN,,
436,Meire Grove,73,MN,,
437,Melrose,73,MN,,
438,Menahga,80,MN,,
439,Mendota,19,MN,,
440,Mendota Heights,19,MN,,
441,Mentor,60,MN,,
442,Mound,27,MN,,
443,Mounds View,62,MN,,
444,Mountain Iron,69,MN,,
445,Mountain Lake,17,MN,,
446,Murdock,76,MN,,
