id,city_id,year,utility_id1,residential_electricity,com_and_ind_electricity,residential_wind_electricity,com_and_ind_wind_electricity,utility_id2,residential_electricity2,com_and_ind_electricity2,residential_wind_electricity2,com_and_ind_wind_electricity2,utility_id3,residential_electricity3,com_and_ind_electricity3,residential_wind_electricity3,com_and_ind_wind_electricity3
136,23,2009,2,43303,97230,213,0,13,0,0,0,0,,0,0,0,0
137,23,2010,2,46195,102612,214,0,13,0,0,0,0,,0,0,0,0
138,23,2011,2,46389,100012,196,0,13,0,0,0,0,,0,0,0,0
139,23,2012,2,46581,102350,190,0,13,0,0,0,0,,0,0,0,0
140,23,2013,2,46810,104518,217,0,13,0,0,0,0,,0,0,0,0
148,8,2007,2,151847,362732,2138,0,,0,0,0,0,,0,0,0,0
149,8,2008,2,146276,362688,2265,0,,0,0,0,0,,0,0,0,0
150,8,2009,2,141168,352723,2219,0,,0,0,0,0,,0,0,0,0
151,8,2010,2,147667,362859,2220,0,,0,0,0,0,,0,0,0,0
152,8,2011,2,147669,365737,2227,0,,0,0,0,0,,0,0,0,0
153,8,2012,2,146918,361549,2218,0,,0,0,0,0,,0,0,0,0
154,8,2013,2,147274,351136,2254,0,,0,0,0,0,,0,0,0,0
155,3,2007,2,719004,2365724,12997,0,,0,0,0,0,,0,0,0,0
156,3,2008,2,690452,2377867,13226,0,,0,0,0,0,,0,0,0,0
157,3,2009,2,674958,2144261,12761,0,,0,0,0,0,,0,0,0,0
158,3,2010,2,705897,2227567,12798,0,,0,0,0,0,,0,0,0,0
159,3,2011,2,721603,2239670,12887,0,,0,0,0,0,,0,0,0,0
160,3,2012,2,708542,2153483,12273,0,,0,0,0,0,,0,0,0,0
161,3,2013,2,717267,2104453,12369,0,,0,0,0,0,,0,0,0,0
162,16,2007,2,95710,148292,1392,0,,0,0,0,0,,0,0,0,0
163,16,2008,2,90927,150564,1477,0,,0,0,0,0,,0,0,0,0
164,16,2009,2,88206,151961,1410,0,,0,0,0,0,,0,0,0,0
165,16,2010,2,90908,155141,1428,0,,0,0,0,0,,0,0,0,0
166,16,2011,2,91083,159267,1419,0,,0,0,0,0,,0,0,0,0
167,16,2012,2,89847,159180,1386,0,,0,0,0,0,,0,0,0,0
168,16,2013,2,88894,157516,1377,0,,0,0,0,0,,0,0,0,0
169,9,2007,2,26351,40937,372,0,,0,0,0,0,,0,0,0,0
170,9,2008,2,25369,40745,384,0,,0,0,0,0,,0,0,0,0
171,9,2009,2,24044,39169,378,0,,0,0,0,0,,0,0,0,0
172,9,2010,2,25456,40479,389,0,,0,0,0,0,,0,0,0,0
173,9,2011,2,26030,40730,408,0,,0,0,0,0,,0,0,0,0
174,9,2012,2,25884,40499,405,0,,0,0,0,0,,0,0,0,0
175,9,2013,2,25788,39894,427,0,,0,0,0,0,,0,0,0,0
176,13,2007,2,78198.39605,113252.6443,0,0,,0,0,0,0,,0,0,0,0
177,13,2008,2,81692.776,114905.426,0,0,,0,0,0,0,,0,0,0,0
178,13,2009,2,79641.41986,109417.0149,0,0,,0,0,0,0,,0,0,0,0
179,13,2010,2,82618.94707,108504.97,0,0,,0,0,0,0,,0,0,0,0
180,13,2011,2,83335.2409,106315.979,0,0,,0,0,0,0,,0,0,0,0
181,13,2012,2,87917,111124,0,0,,0,0,0,0,,0,0,0,0
182,13,2013,2,87883.75748,106854.3116,0,0,,0,0,0,0,,0,0,0,0
183,20,2007,2,225024,249592,1516,0,,0,0,0,0,,0,0,0,0
184,20,2008,2,217181,252105,1684,0,,0,0,0,0,,0,0,0,0
185,20,2009,2,214708,250942,1665,0,,0,0,0,0,,0,0,0,0
186,20,2010,2,229039,256667,1657,0,,0,0,0,0,,0,0,0,0
187,20,2011,2,233018,259059,1655,0,,0,0,0,0,,0,0,0,0
188,20,2012,2,235085,261956,1659,0,,0,0,0,0,,0,0,0,0
189,20,2013,2,234768,261362,1685,0,,0,0,0,0,,0,0,0,0
