id,city_id,year,utility_ida,residential_nat_gasa,com_and_ind_nat_gasa,utility_idb,residential_nat_gasb,com_and_ind_nat_gasb,utility_idc,residential_nat_gasc,com_and_ind_nat_gasc
1021,24,2007,12,4016110,5157544.08,0,0,0,0,0,0
1022,24,2008,12,4395958,5499075,0,0,0,0,0,0
1023,24,2009,12,4357549,5332198,0,0,0,0,0,0
1024,24,2010,12,3883550,4893044,0,0,0,0,0,0
1025,24,2011,12,4154321,6631613,0,0,0,0,0,0
1026,24,2012,12,3641301,5956699,0,0,0,0,0,0
1027,24,2013,12,4636772,7257300,0,0,0,0,0,0
1028,22,2007,3,23460277,30991396,0,0,0,0,0,0
1029,22,2008,3,27508730,33776148,0,0,0,0,0,0
1030,22,2009,3,26574164,31543692,0,0,0,0,0,0
1031,22,2010,3,24152502,28959274,0,0,0,0,0,0
1032,22,2011,3,25905886,31438486,0,0,0,0,0,0
1033,22,2012,3,20610043,26435411,0,0,0,0,0,0
1034,22,2013,3,26966060,32514660,0,0,0,0,0,0
1035,56,2007,3,15316183,63753557,0,0,0,0,0,0
1036,56,2008,3,18088490,47617267,0,0,0,0,0,0
1037,56,2009,3,17305430,50219259,0,0,0,0,0,0
1038,56,2010,3,15697225,52484968,0,0,0,0,0,0
1039,56,2011,3,16634116,44750196,0,0,0,0,0,0
1040,56,2012,3,13354082,22733755,0,0,0,0,0,0
1041,56,2013,3,17682448,55380033,0,0,0,0,0,0
1042,14,2007,3,15748118,9599069,0,0,0,0,0,0
1043,14,2008,3,18631603,10584773,0,0,0,0,0,0
1044,14,2009,3,17406218,9971716,0,0,0,0,0,0
1045,14,2010,3,16176837,9282193,0,0,0,0,0,0
1046,14,2011,3,16978872,9939624,0,0,0,0,0,0
1047,14,2012,3,14089298,8570137,0,0,0,0,0,0
1048,14,2013,3,18187216,10514961,0,0,0,0,0,0
1049,5,2007,2,0,0,0,0,0,0,0,0
1050,5,2008,2,0,0,0,0,0,0,0,0
1051,5,2009,2,0,0,0,0,0,0,0,0
1052,5,2010,2,0,0,0,0,0,0,0,0
1053,5,2011,2,0,0,0,0,0,0,0,0
1054,5,2012,2,0,0,0,0,0,0,0,0
1055,5,2013,2,0,0,0,0,0,0,0,0
1056,17,2007,3,64994,0,12,17584891,14002261,10,516270,96420
1057,17,2008,3,77321,0,12,19881687,16131110,10,591900,116510
1058,17,2009,3,74464,0,12,18798562,15237073,10,595860,102760
1059,17,2010,3,66600,0,12,17217392,13527514,10,546290,93400
1060,17,2011,3,71949,0,12,17994030,20291251,10,595420,105120
1061,17,2012,3,55938,0,12,14575159,17322761,10,488380,92410
1062,17,2013,3,73981,0,12,19479123,21555506,10,651140,132770
1063,18,2007,3,19413103,15054891,0,0,0,0,0,0
1064,18,2008,3,22247378,16902607,0,0,0,0,0,0
1065,18,2009,3,21730576,16034321,0,0,0,0,0,0
1066,18,2010,3,19798252,14714196,0,0,0,0,0,0
1067,18,2011,3,20795931,15789564,0,0,0,0,0,0
1068,18,2012,3,16868106,13166300,0,0,0,0,0,0
1069,18,2013,3,22468846,16311519,0,0,0,0,0,0
1070,10,2007,3,17843976,16448884,0,0,0,0,0,0
1071,10,2008,3,20511175,18249768,0,0,0,0,0,0
1072,10,2009,3,19953060,17815739,0,0,0,0,0,0
1073,10,2010,3,18209218,16804837,0,0,0,0,0,0
1074,10,2011,3,19145986,17753505,0,0,0,0,0,0
1075,10,2012,3,15339689,15229325,0,0,0,0,0,0
1076,10,2013,3,20189644,18468138,0,0,0,0,0,0
1077,333,2007,3,5251654,5952034,0,0,0,0,0,0
1078,333,2008,3,6331002,5881867,0,0,0,0,0,0
1079,333,2009,3,6126675,5151471,0,0,0,0,0,0
1080,333,2010,3,5602100,4431537,0,0,0,0,0,0
1081,333,2011,3,6179079,4916673,0,0,0,0,0,0
1082,333,2012,3,5003078,4334101,0,0,0,0,0,0
1083,333,2013,3,6276225,4901210,0,0,0,0,0,0
1084,11,2007,10,1223410,978660,0,0,0,0,0,0
1085,11,2008,10,1387020,1072970,0,0,0,0,0,0
